Group,Country,Name,Image,Path,PersonPercentage,Predominant
Group A,Ecuador Players,Images_Alan Franco,Alan Franco1.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco1.jpg,0.7006498280946808,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco12.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco12.jpg,0.7597514336521758,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco14.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco14.jpg,0.953450950514644,True
Group A,Ecuador Players,Images_Alan Franco,Alan Franco18.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco18.jpg,0.4362883250136092,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco2.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco2.jpg,0.3525103962450703,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco20.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco20.jpg,0.7177546374257311,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco22.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco22.jpg,0.5079436562353866,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco23.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco23.jpg,0.779462729942145,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco25.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco25.jpg,0.465540931006724,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco26.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco26.jpg,0.427726134198332,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco30.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco30.jpg,0.4130375900427689,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco33.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco33.jpg,0.2181642440321021,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco34.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco34.jpg,0.4499253251243707,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco35.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco35.jpg,0.3159188801467553,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco36.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco36.jpg,0.7577039470640832,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco39.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco39.jpg,0.0736144960310648,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco40.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco40.jpg,0.5797946803892591,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco41.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco41.jpg,0.2889158595281796,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco42.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco42.jpg,0.5498120482134122,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco43.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco43.jpg,0.8946770166575905,True
Group A,Ecuador Players,Images_Alan Franco,Alan Franco44.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco44.jpg,0.3285519228993103,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco45.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco45.jpg,0.3346390863670533,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco47.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco47.jpg,,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco5.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco5.jpg,0.5686316914046665,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco50.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco50.jpg,0.0224029792961498,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco6.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco6.jpg,0.5993563305087177,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco7.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco7.jpg,0.301209328513053,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco8.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco8.jpg,0.6912843331852608,False
Group A,Ecuador Players,Images_Alan Franco,Alan Franco9.jpg,data/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco9.jpg,,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez10.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez10.jpg,0.2973285997099386,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez11.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez11.jpg,0.2792191512852039,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez12.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez12.jpg,0.4668291986443892,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez13.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez13.jpg,,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez16.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez16.jpg,,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez18.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez18.jpg,0.7669664330660404,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez20.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez20.jpg,0.249936144484189,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez24.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez24.jpg,0.6275068320014149,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez25.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez25.jpg,0.7146011455777534,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez29.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez29.jpg,,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez31.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez31.jpg,0.3202682832935969,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez32.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez32.jpg,0.2546319124791299,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez35.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez35.jpg,0.6036378508796821,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez37.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez37.jpg,0.4714563978298828,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez41.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez41.jpg,,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez45.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez45.jpg,0.4712914574969097,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez46.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez46.jpg,0.7157363357237899,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez48.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez48.jpg,0.8619817456213141,True
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez5.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez5.jpg,0.7387061330535704,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez6.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez6.jpg,0.6231895369662956,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez7.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez7.jpg,0.5983871610696894,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez8.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez8.jpg,0.0678455358603057,False
Group A,Ecuador Players,Images_Alexander Domínguez,Alexander Domínguez9.jpg,data/Images/Group A/Ecuador Players/Images_Alexander Domínguez/Alexander Domínguez9.jpg,,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado1.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado1.jpg,0.7078381282675662,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado10.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado10.jpg,0.6730901956627862,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado12.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado12.jpg,0.5781064370350136,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado15.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado15.jpg,0.234660983075795,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado16.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado16.jpg,,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado17.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado17.jpg,0.5307532856756286,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado19.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado19.jpg,,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado2.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado2.jpg,0.716406944926359,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado20.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado20.jpg,0.5322445889054953,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado21.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado21.jpg,0.4780504696442133,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado26.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado26.jpg,0.5222230695418195,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado28.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado28.jpg,0.7935929950816834,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado29.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado29.jpg,,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado30.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado30.jpg,0.4936630937120015,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado33.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado33.jpg,0.4943789460567651,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado37.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado37.jpg,,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado39.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado39.jpg,0.4892870387188898,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado4.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado4.jpg,0.5318623666882469,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado41.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado41.jpg,0.4193464744462836,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado47.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado47.jpg,,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado5.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado5.jpg,0.3820071268581748,False
Group A,Ecuador Players,Images_Ayrton Preciado,Ayrton Preciado7.jpg,data/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado7.jpg,,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo1.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo1.jpg,0.7638577908322163,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo12.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo12.jpg,0.4897296447788253,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo14.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo14.jpg,,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo15.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo15.jpg,0.874415774467221,True
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo16.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo16.jpg,0.7886439157834173,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo18.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo18.jpg,0.926047023421988,True
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo2.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo2.jpg,0.402655652637129,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo21.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo21.jpg,0.2431274302196649,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo23.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo23.jpg,0.6873291790197713,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo25.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo25.jpg,0.576481941519045,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo27.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo27.jpg,0.4365271099666565,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo3.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo3.jpg,0.8904755439126558,True
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo31.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo31.jpg,,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo38.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo38.jpg,0.6148897825571535,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo39.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo39.jpg,0.8362369496721519,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo4.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo4.jpg,0.5838594784169514,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo41.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo41.jpg,0.4823614752057075,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo45.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo45.jpg,0.6202329804262082,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo46.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo46.jpg,0.4272601579238985,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo47.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo47.jpg,0.5019308352841083,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo5.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo5.jpg,0.2280488011625689,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo50.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo50.jpg,0.9453484835925716,True
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo6.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo6.jpg,0.836086455726362,False
Group A,Ecuador Players,Images_Carlos Gruezo,Carlos Gruezo8.jpg,data/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo8.jpg,0.7032477939620602,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios1.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios1.jpg,0.8908121865948007,True
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios10.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios10.jpg,0.6051662749804655,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios12.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios12.jpg,0.6720486597821453,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios13.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios13.jpg,0.754218999100279,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios17.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios17.jpg,0.3952057911892891,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios18.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios18.jpg,0.272083184990596,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios19.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios19.jpg,0.3242073772082395,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios21.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios21.jpg,0.8406868862987226,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios22.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios22.jpg,0.9409760957286856,True
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios25.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios25.jpg,0.4965064642366014,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios29.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios29.jpg,0.574834408669431,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios3.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios3.jpg,0.3515264613946754,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios32.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios32.jpg,0.7942087083031478,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios34.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios34.jpg,0.5569445273971149,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios4.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios4.jpg,0.5382903732703679,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios44.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios44.jpg,0.6275083340050456,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios45.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios45.jpg,0.8119489560011154,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios47.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios47.jpg,0.9336706563398716,True
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios49.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios49.jpg,0.8049024522880889,False
Group A,Ecuador Players,Images_Diego Palacios,Diego Palacios8.jpg,data/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios8.jpg,0.2446835116463232,False
Group A,Ecuador Players,Images_Djorkaeff Reasco,Djorkaeff Reasco11.jpg,data/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco11.jpg,0.4994990330450403,False
Group A,Ecuador Players,Images_Djorkaeff Reasco,Djorkaeff Reasco13.jpg,data/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco13.jpg,0.1913535929974841,False
